MARKER_ID,SHOP_NAME,SHOP_ADDRESS,LATITUDE,LONGITUDE,OPEN_DATE
VNVC,VNVC BÌNH MINH,"SỐ 79A, TỔ 6, NGUYỄN VĂN THẢNH, KHÓM 2, P.CÁI VỒN, VĨNH LONG",10.0692586,105.8161415,2023-12-02
VNVC,VNVC KIẾN TƯỜNG,"SỐ 176 - 178 - 180 HÙNG VƯƠNG, KP.1, P.KIẾN TƯỜNG, TÂY NINH",10.7791627,105.9305849,2023-11-27
VNVC,VNVC HAI BÀ TRƯNG,"290 HAI BÀ TRƯNG, P.TÂN ĐỊNH, TP.HCM",10.7891585,106.69066,2023-11-13
VNVC,VNVC VIỆT HƯNG,"CĂN HỘ C4 LÔ BT04, ĐÔ THỊ MỚI VIỆT HƯNG, P.VIỆT HƯNG, HÀ NỘI (ĐỐI DIỆN TRƯỜNG THCS ĐÔ THỊ VIỆT HƯNG, CÁCH 30M, CẠNH TRƯỜNG MẦM NON THÁNH GIÓNG CS1)",21.0674145,105.9099752,2023-11-13
VNVC,VNVC NGHI TÀM,"SỐ 175 NGHI TÀM, P.TÂY HỒ, HÀ NỘI (NẰM TRÊN ĐƯỜNG NGHI TÀM, CÁCH HỒ TÂY 700M)",21.0549926,105.8366314,2023-11-11
VNVC,VNVC THỐT NỐT,"545C QL91, KV.LONG THẠNH 2, P.THỐT NỐT, TP.CẦN THƠ",10.280968,105.5243278,2023-11-11
VNVC,VNVC GIA LÂM,"SỐ 187 NGÔ XUÂN QUẢNG, X.GIA LÂM, HÀ NỘI (CÁCH TRỤC ĐƯỜNG QL5 KHOẢNG 500M, CÁCH ĐƯỜNG CỔ BI KHOẢNG 500M)",21.0159865,105.9366533,2023-11-08
VNVC,VNVC PHONG PHÚ,"2134 VĂN TIẾN DŨNG, ẤP 51, X.BÌNH HƯNG, TP.HCM",10.6828354,106.6508173,2023-11-04
VNVC,VNVC CÁI BÈ,"242 TRƯƠNG CÔNG ĐỊNH, TỔ 13, ẤP 2, X.CÁI BÈ, TỈNH ĐỒNG THÁP",10.3316858,106.0317644,2023-11-01
VNVC,VNVC CẨM LỆ,"432-434-436 CÁCH MẠNG THÁNG 8, P.CẨM LỆ, TP.ĐÀ NẴNG",16.0143399,108.1986403,2023-11-01
VNVC,VNVC TÂN HIỆP,"QL1A, KP.TÂN PHÚ, X.CHÂU THÀNH, ĐỒNG THÁP",10.455496,106.3466462,2023-10-30
VNVC,VNVC VĂN GIANG,"SỐ 888 KHU ĐÔ THỊ MỚI VĂN GIANG, X.VĂN GIANG, HƯNG YÊN (NẰM NGAY NGÃ TƯ THỊ TRẤN VĂN GIANG)",20.9465536,105.9414073,2023-10-20
