MARKER_ID,SHOP_NAME,SHOP_ADDRESS,LATITUDE,LONGITUDE,LIST_ATT
FLC,"80046-LC HCM 224A Lê Văn Lương, P. Tân Hưng","224A Lê Văn Lương, P. Tân Hưng, Q. 7, TP. Hồ Chí Minh",10.744514,106.704102,Chợ; Ðối thủ; Phòng khám / TYT; Trường học; UBND Phường/Xã
FLC,"80047-LC HCM 159-161 Nguyễn Bình, X. Nhà Bè","159-161 Nguyễn Bình, X. Phú Xuân, H. Nhà Bè, TP. Hồ Chí Minh",10.676306,106.745926,Chợ; Ðối thủ; Trường học
FLC,"80048-LC CMU 100A-B Lý Thường Kiệt, P. Tân Thành","100A-B Lý Thường Kiệt, P. 7, TP. Cà Mau, Tỉnh Cà Mau",9.174378,105.153335,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80049-LC CMU 142 Nguyễn Tất Thành, P. Lý Văn Lâm","142 Nguyễn Tất Thành, P. 8, TP. Cà Mau, Tỉnh Cà Mau",9.167318,105.145199,Chợ; Ðối thủ; Khu công nghiệp; Phòng khám / TYT; Trường học
FLC,"80050-LC HCM 406 Trương Công Định, P. Tam Thắng","406 Trương Công Định, P. 8, TP. Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",10.359892,107.087415,Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80051-LC HCM 121 Ba Cu, P. Vũng Tàu","121 Ba Cu, P. 4, TP. Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",10.351574,107.079353,Chợ; Ðối thủ; Phòng khám / TYT; Trường học; UBND Phường/Xã
FLC,"80052-LC HCM 516-518-520 Dương Bá Trạc, P. Chánh Hưng","516-518-520 Dương Bá Trạc, P. 1, Q. 8, TP. Hồ Chí Minh",10.742923,106.688211,Bệnh viện; Chợ; Ðối thủ; Trường học
FLC,"80055-LC AGG 813B Hà Hoàng Hổ, P. Long Xuyên","813B Hà Hoàng Hổ, P. Mỹ Xuyên, TP. Long Xuyên, Tỉnh An Giang",10.377918,105.431428,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80056-LC DTP 95 Đinh Bộ Lĩnh, P. Mỹ Tho","95/4-95/5 Đinh Bộ Lĩnh, P. 2, TP. Mỹ Tho, Tỉnh Tiền Giang",10.353907,106.374487,Chợ; Ðối thủ; Trường học
FLC,"80057-LC HCM 241 Lê Hồng Phong, P. Phú Lợi","241 Lê Hồng Phong, P. Phú Hoà, TP. Thủ Dầu Một, Tỉnh Bình Dương",10.982129,106.680414,Chợ; Trường học; UBND Phường/Xã
FLC,"80058-LC HCM 305-307 Hoàng Diệu, P. Khánh Hội","305-307 Hoàng Diệu, P. 6, Q. 4, TP. Hồ Chí Minh",10.760076,106.699272,Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80059-LC HCM 361 Tô Ngọc Vân, P. Hiệp Bình","361 Tô Ngọc Vân, P. Linh Đông, TP. Thủ Đức, TP. Hồ Chí Minh",10.859601,106.747549,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80062-LC VLG 62 Lưu Văn Liệt, P. Long Châu","62 Lưu Văn Liệt, P. 1, TP. Vĩnh Long, Tỉnh Vĩnh Long",10.254458,105.965777,Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80063-LC HNI 637 Hoàng Hoa Thám, P. Ngọc Hà","637-639 Hoàng Hoa Thám, P. Vĩnh Phúc, Q. Ba Đình, TP. Hà Nội",21.047041,105.808539,Chợ; Ðối thủ; Trường học
FLC,"80064-LC HNI 93 Hàng Mã, P. Hoàn Kiếm","93 Hàng Mã, P. Hàng Mã, Q. Hoàn Kiếm, TP. Hà Nội",21.036532,105.846479,Chợ; Ðối thủ; Trường học
FLC,80065-LC TVH 41 Điện Biên Phủ,"41 Điện Biên Phủ, P. 3, TP. Trà Vinh, Tỉnh Trà Vinh",9.933811,106.341491,Chợ; Ðối thủ; Phòng khám / TYT; Trường học; UBND Phường/Xã
FLC,"80066-LC HCM 85 Phạm Văn Hai, P. Tân Sơn Hòa","85 Phạm Văn Hai, P. 3, Q. Tân Bình, TP. Hồ Chí Minh",10.794558,106.663466,Chợ; Ðối thủ; Trường học; UBND Phường/Xã
FLC,"80067-LC CTO 2-4 Đinh Tiên Hoàng, P. Phú Lợi","2-4 Đinh Tiên Hoàng, P. 1, TP. Sóc Trăng, Tỉnh Sóc Trăng",9.603695,105.973553,Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80068-LC HCM 109 Nguyễn Thanh Đằng, P. Bà Rịa","109 Nguyễn Thanh Đằng, P. Phước Trung, TP. Bà Rịa, Tỉnh Bà Rịa - Vũng Tàu",10.500013,107.17302,Bệnh viện; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80070-LC HCM 223B Cống Quỳnh, P. Cầu Ông Lãnh","223B Cống Quỳnh, P. Nguyễn Cư Trinh, Q. 1, TP. Hồ Chí Minh",10.767714,106.685363,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học; UBND Phường/Xã
FLC,"80072-LC DAG 64 Trần Cao Vân, P. Thanh Khê","64 Trần Cao Vân, P. Tam Thuận, Q. Thanh Khê, TP. Đà Nẵng",16.073043,108.210881,Bệnh viện; Chợ; Phòng khám / TYT; Trường học
FLC,"80073-LC NAN 129 Hồng Sơn, P. Trường Vinh","129 Hồng Sơn, P. Hồng Sơn, TP. Vinh, Tỉnh Nghệ An",18.663834,105.674889,Chợ; Phòng khám / TYT; Trường học; UBND Phường/Xã
FLC,"80076-LC CTO 388 Nguyễn Huệ, P. Phú Lợi","388 Nguyễn Huệ, P. 9, TP. Sóc Trăng, Tỉnh Sóc Trăng",9.601892,105.976384,Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80077-LC DAG 105 Trần Cao Vân, P. Hương Trà","105 Trần Cao Vân, P. An Sơn, TP. Tam Kỳ, Tỉnh Quảng Nam",15.564163,108.492852,Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80078-LC DAG 166-168 Ông Ích Khiêm, P. Thanh Khê","166-168 Ông Ích Khiêm, P. Tam Thuận, Q. Thanh Khê, TP. Đà Nẵng",16.072727,108.212756,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80079-LC LĐG 30 Nguyễn Hội, P. Phan Thiết","30 Nguyễn Hội, P. Phú Trinh, TP. Phan Thiết, Tỉnh Bình Thuận",10.933624,108.096998,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80081-LC HCM 37D Thuận Kiều, P. Chợ Lớn","37D Thuận Kiều, P. 12, Q. 5, TP. Hồ Chí Minh",10.756677,106.658089,Bệnh viện; Chợ; Ðối thủ; Trường học; UBND Phường/Xã
FLC,"80082-LC HNI 149 - 151 Trần Đăng Ninh, P. Cầu Giấy","149 - 151 Trần Đăng Ninh, P. Dịch Vọng, Q. Cầu Giấy, TP. Hà Nội",21.038005,105.793016,Bệnh viện; Ðối thủ; Trường học
FLC,"80083-LC HPG 313-315 Hai Bà Trưng, P. An Biên","313-315 Hai Bà Trưng, P. An Biên, Q. Lê Chân, TP. Hải Phòng",20.851474,106.672159,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80084-LC HCM 452 Kinh Dương Vương, P. An Lạc","452-454 Kinh Dương Vương, P. An Lạc A, Q. Bình Tân, TP. Hồ Chí Minh",10.740102,106.616719,Bệnh viện; Chợ; Ðối thủ; Trường học; UBND Phường/Xã
FLC,"80085-LC CMU 89 Hai Bà Trưng, P. Bạc Liêu","89 Hai Bà Trưng, P. 3, TP. Bạc Liêu, Tỉnh Bạc Liêu",9.286266,105.724785,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80086-LC VLG 77 Đường 1/5, P. Long Châu","77 Đường 1/5, P. 1, TP. Vĩnh Long, Tỉnh Vĩnh Long",10.256039,105.974459,Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80087-LC LĐG 64 Trương Định, P. Bắc Gia Nghĩa","64 Trương Định, P. Nghĩa Thành, TX. Gia Nghĩa, Tỉnh Đắk Nông",12.005591,107.683499,Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80088-LC QTI 120 Hàm Nghi, P. Nam Đông Hà","120 Hàm Nghi, P. 5, TP. Đông Hà, Tỉnh Quảng Trị",16.809386,107.098493,Chợ; Ðối thủ; Trường học
FLC,"80089-LC HCM 125 Lê Văn Chí, P. Linh Xuân","125 Lê Văn Chí, P. Linh Trung, TP. Thủ Đức, TP. Hồ Chí Minh",10.858883,106.777622,Bệnh viện; Ðối thủ; Khu công nghiệp; Trường học
FLC,"80090-LC CTO 20-22 Lý Tự Trọng, P. Ninh Kiều","20-22 Lý Tự Trọng, P. Thới Bình, Q. Ninh Kiều, TP. Cần Thơ",10.033104,105.781355,Bệnh viện; Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80091-LC DAG 359 Trưng Nữ Vương, P. Hòa Cường","359 Trưng Nữ Vương, P. Hòa Thuận Đông, Q. Hải Châu, TP. Đà Nẵng",16.051056,108.216199,Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80092-LC HCM 223 Lê Lợi, P. Vũng Tàu","223 Lê Lợi, P. Thắng Nhì, TP. Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu",10.370113,107.076591,Chợ; Ðối thủ; Phòng khám / TYT; Trường học
FLC,"80093-LC TTH 80-82 Ngô Quyền, P. Thuận Hóa","80-82 Ngô Quyền, P. Vĩnh Ninh, Q. Thuận Hóa, TP. Huế",16.462008,107.588766,Bệnh viện; Ðối thủ; Trường học
